"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","50.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"987","https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree","Vertical Order Traversal of a Binary Tree","Hard","53.8%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"31","https://leetcode.com/problems/next-permutation","Next Permutation","Medium","45.3%","50.0%","Backtracking","Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"37","https://leetcode.com/problems/sudoku-solver","Sudoku Solver","Hard","65.5%","37.5%","Backtracking","Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"556","https://leetcode.com/problems/next-greater-element-iii","Next Greater Element III","Medium","35.3%","62.5%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"45","https://leetcode.com/problems/jump-game-ii","Jump Game II","Medium","42.9%","25.0%","Greedy","Greedy","Low","Good for coverage after core list is complete."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","37.5%","Greedy","Greedy","Low","Good for coverage after core list is complete."
"588","https://leetcode.com/problems/design-in-memory-file-system","Design In-Memory File System","Hard","48.4%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"84","https://leetcode.com/problems/largest-rectangle-in-histogram","Largest Rectangle in Histogram","Hard","49.9%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1166","https://leetcode.com/problems/design-file-system","Design File System","Medium","65.1%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"124","https://leetcode.com/problems/binary-tree-maximum-path-sum","Binary Tree Maximum Path Sum","Hard","42.3%","87.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"2049","https://leetcode.com/problems/count-nodes-with-the-highest-score","Count Nodes With the Highest Score","Medium","52.7%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"658","https://leetcode.com/problems/find-k-closest-elements","Find K Closest Elements","Medium","49.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"211","https://leetcode.com/problems/design-add-and-search-words-data-structure","Design Add and Search Words Data Structure","Medium","48.5%","25.0%","Strings; Binary Search; Design","Hashing / Sliding Window; Binary Search; Data Structure Design","Low","Good for coverage after core list is complete."
"735","https://leetcode.com/problems/asteroid-collision","Asteroid Collision","Medium","47.9%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"224","https://leetcode.com/problems/basic-calculator","Basic Calculator","Hard","46.9%","50.0%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"227","https://leetcode.com/problems/basic-calculator-ii","Basic Calculator II","Medium","46.9%","50.0%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","37.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"772","https://leetcode.com/problems/basic-calculator-iii","Basic Calculator III","Hard","53.3%","50.0%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"1944","https://leetcode.com/problems/number-of-visible-people-in-a-queue","Number of Visible People in a Queue","Hard","73.1%","37.5%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"778","https://leetcode.com/problems/swim-in-rising-water","Swim in Rising Water","Hard","67.8%","37.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"286","https://leetcode.com/problems/walls-and-gates","Walls and Gates","Medium","64.0%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"296","https://leetcode.com/problems/best-meeting-point","Best Meeting Point","Hard","61.4%","37.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"297","https://leetcode.com/problems/serialize-and-deserialize-binary-tree","Serialize and Deserialize Binary Tree","Hard","60.8%","50.0%","Trees; Design","DFS / BFS; Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"317","https://leetcode.com/problems/shortest-distance-from-all-buildings","Shortest Distance from All Buildings","Hard","44.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1235","https://leetcode.com/problems/maximum-profit-in-job-scheduling","Maximum Profit in Job Scheduling","Hard","54.7%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"329","https://leetcode.com/problems/longest-increasing-path-in-a-matrix","Longest Increasing Path in a Matrix","Hard","56.6%","87.5%","Arrays; Dynamic Programming","Sorting / Prefix / Scan; State Transition","High","Must revise; common company/OA pattern."
"826","https://leetcode.com/problems/most-profit-assigning-work","Most Profit Assigning Work","Medium","56.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"827","https://leetcode.com/problems/making-a-large-island","Making A Large Island","Hard","56.6%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"1779","https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate","Find Nearest Point That Has the Same X or Y Coordinate","Easy","70.0%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1268","https://leetcode.com/problems/search-suggestions-system","Search Suggestions System","Medium","65.2%","87.5%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"859","https://leetcode.com/problems/buddy-strings","Buddy Strings","Easy","34.0%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1790","https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal","Check if One String Swap Can Make Strings Equal","Easy","49.5%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"875","https://leetcode.com/problems/koko-eating-bananas","Koko Eating Bananas","Medium","50.0%","75.0%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"1359","https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options","Count All Valid Pickup and Delivery Options","Hard","64.9%","37.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1347","https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram","Minimum Number of Steps to Make Two Strings Anagram","Medium","82.5%","62.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1905","https://leetcode.com/problems/count-sub-islands","Count Sub Islands","Medium","73.0%","37.5%","Graphs","BFS / DFS / Topological Sort","Low","Good for coverage after core list is complete."
"210","https://leetcode.com/problems/course-schedule-ii","Course Schedule II","Medium","55.5%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"164","https://leetcode.com/problems/maximum-gap","Maximum Gap","Medium","52.1%","25.0%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"208","https://leetcode.com/problems/implement-trie-prefix-tree","Implement Trie (Prefix Tree)","Medium","69.5%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1834","https://leetcode.com/problems/single-threaded-cpu","Single-Threaded CPU","Medium","47.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2065","https://leetcode.com/problems/maximum-path-quality-of-a-graph","Maximum Path Quality of a Graph","Hard","62.2%","25.0%","Arrays; Graphs","Sorting / Prefix / Scan; BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"212","https://leetcode.com/problems/word-search-ii","Word Search II","Hard","38.5%","37.5%","Strings; Binary Search","Hashing / Sliding Window; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"1730","https://leetcode.com/problems/shortest-path-to-get-food","Shortest Path to Get Food","Medium","57.2%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"1152","https://leetcode.com/problems/analyze-user-website-visit-pattern","Analyze User Website Visit Pattern","Medium","44.3%","25.0%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"986","https://leetcode.com/problems/interval-list-intersections","Interval List Intersections","Medium","73.0%","25.0%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","Low","Good for coverage after core list is complete."
"2611","https://leetcode.com/problems/mice-and-cheese","Mice and Cheese","Medium","48.8%","25.0%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"1173","https://leetcode.com/problems/immediate-food-delivery-i","Immediate Food Delivery I","Easy","80.6%","25.0%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"1174","https://leetcode.com/problems/immediate-food-delivery-ii","Immediate Food Delivery II","Medium","56.0%","25.0%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"2565","https://leetcode.com/problems/subsequence-with-the-minimum-score","Subsequence With the Minimum Score","Hard","33.3%","25.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1143","https://leetcode.com/problems/longest-common-subsequence","Longest Common Subsequence","Medium","59.2%","37.5%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"695","https://leetcode.com/problems/max-area-of-island","Max Area of Island","Medium","74.0%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"460","https://leetcode.com/problems/lfu-cache","LFU Cache","Hard","49.2%","25.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"542","https://leetcode.com/problems/01-matrix","01 Matrix","Medium","53.9%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1472","https://leetcode.com/problems/design-browser-history","Design Browser History","Medium","78.3%","25.0%","Design","Data Structure Design","Low","Good for coverage after core list is complete."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","25.0%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"314","https://leetcode.com/problems/binary-tree-vertical-order-traversal","Binary Tree Vertical Order Traversal","Medium","57.8%","37.5%","Trees","DFS / BFS","Low","Good for coverage after core list is complete."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","37.5%","Design","Data Structure Design","Low","Good for coverage after core list is complete."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","37.5%","Graphs","BFS / DFS / Topological Sort","Low","Good for coverage after core list is complete."
"1664","https://leetcode.com/problems/ways-to-make-a-fair-array","Ways to Make a Fair Array","Medium","66.9%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"924","https://leetcode.com/problems/minimize-malware-spread","Minimize Malware Spread","Hard","43.2%","37.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1087","https://leetcode.com/problems/brace-expansion","Brace Expansion","Medium","66.9%","25.0%","Core DSA","Implementation / Reasoning","Low","Good for coverage after core list is complete."
"209","https://leetcode.com/problems/minimum-size-subarray-sum","Minimum Size Subarray Sum","Medium","51.7%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"480","https://leetcode.com/problems/sliding-window-median","Sliding Window Median","Hard","39.0%","37.5%","Heap","Priority Queue; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"18","https://leetcode.com/problems/4sum","4Sum","Medium","40.6%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
