"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1014","https://leetcode.com/problems/best-sightseeing-pair","Best Sightseeing Pair","Medium","62.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"125","https://leetcode.com/problems/valid-palindrome","Valid Palindrome","Easy","53.3%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1244","https://leetcode.com/problems/design-a-leaderboard","Design A Leaderboard","Medium","68.1%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"152","https://leetcode.com/problems/maximum-product-subarray","Maximum Product Subarray","Medium","36.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1604","https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period","Alert Using Same Key-Card Three or More Times in a One Hour Period","Medium","46.3%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1189","https://leetcode.com/problems/maximum-number-of-balloons","Maximum Number of Balloons","Easy","60.2%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1957","https://leetcode.com/problems/delete-characters-to-make-fancy-string","Delete Characters to Make Fancy String","Easy","74.1%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2139","https://leetcode.com/problems/minimum-moves-to-reach-target-score","Minimum Moves to Reach Target Score","Medium","52.4%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1405","https://leetcode.com/problems/longest-happy-string","Longest Happy String","Medium","65.5%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1895","https://leetcode.com/problems/largest-magic-square","Largest Magic Square","Medium","75.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1194","https://leetcode.com/problems/tournament-winners","Tournament Winners","Hard","50.1%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1212","https://leetcode.com/problems/team-scores-in-football-tournament","Team Scores in Football Tournament","Medium","55.8%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"415","https://leetcode.com/problems/add-strings","Add Strings","Easy","52.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"780","https://leetcode.com/problems/reaching-points","Reaching Points","Hard","34.4%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2950","https://leetcode.com/problems/number-of-divisible-substrings","Number of Divisible Substrings","Medium","74.6%","87.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"844","https://leetcode.com/problems/backspace-string-compare","Backspace String Compare","Easy","49.9%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1204","https://leetcode.com/problems/last-person-to-fit-in-the-bus","Last Person to Fit in the Bus","Medium","69.3%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","62.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"2380","https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string","Time Needed to Rearrange a Binary String","Medium","53.0%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
