"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"2858","https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable","Minimum Edge Reversals So Every Node Is Reachable","Hard","59.5%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"2930","https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring","Number of Strings Which Can Be Rearranged to Contain Substring","Medium","57.0%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"2959","https://leetcode.com/problems/number-of-possible-sets-of-closing-branches","Number of Possible Sets of Closing Branches","Hard","51.0%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2953","https://leetcode.com/problems/count-complete-substrings","Count Complete Substrings","Hard","30.4%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"1326","https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden","Minimum Number of Taps to Open to Water a Garden","Hard","51.0%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"740","https://leetcode.com/problems/delete-and-earn","Delete and Earn","Medium","57.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2742","https://leetcode.com/problems/painting-the-walls","Painting the Walls","Hard","49.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2771","https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays","Longest Non-decreasing Subarray From Two Arrays","Medium","31.2%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","62.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","62.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"1268","https://leetcode.com/problems/search-suggestions-system","Search Suggestions System","Medium","65.2%","62.5%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"180","https://leetcode.com/problems/consecutive-numbers","Consecutive Numbers","Medium","48.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2444","https://leetcode.com/problems/count-subarrays-with-fixed-bounds","Count Subarrays With Fixed Bounds","Hard","69.2%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"176","https://leetcode.com/problems/second-highest-salary","Second Highest Salary","Medium","47.0%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2187","https://leetcode.com/problems/minimum-time-to-complete-trips","Minimum Time to Complete Trips","Medium","39.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1639","https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary","Number of Ways to Form a Target String Given a Dictionary","Hard","56.5%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
