"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3161","https://leetcode.com/problems/block-placement-queries","Block Placement Queries","Hard","18.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2768","https://leetcode.com/problems/number-of-black-blocks","Number of Black Blocks","Medium","41.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"48","https://leetcode.com/problems/rotate-image","Rotate Image","Medium","80.1%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1861","https://leetcode.com/problems/rotating-the-box","Rotating the Box","Medium","82.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1743","https://leetcode.com/problems/restore-the-array-from-adjacent-pairs","Restore the Array From Adjacent Pairs","Medium","75.0%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3043","https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix","Find the Length of the Longest Common Prefix","Medium","62.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2817","https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint","Minimum Absolute Difference Between Elements With Constraint","Medium","37.7%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2502","https://leetcode.com/problems/design-memory-allocator","Design Memory Allocator","Medium","50.1%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
