"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"983","https://leetcode.com/problems/minimum-cost-for-tickets","Minimum Cost For Tickets","Medium","67.4%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"14","https://leetcode.com/problems/longest-common-prefix","Longest Common Prefix","Easy","47.6%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"997","https://leetcode.com/problems/find-the-town-judge","Find the Town Judge","Easy","50.8%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"682","https://leetcode.com/problems/baseball-game","Baseball Game","Easy","80.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"697","https://leetcode.com/problems/degree-of-an-array","Degree of an Array","Easy","58.4%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"238","https://leetcode.com/problems/product-of-array-except-self","Product of Array Except Self","Medium","68.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"468","https://leetcode.com/problems/validate-ip-address","Validate IP Address","Medium","28.3%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1668","https://leetcode.com/problems/maximum-repeating-substring","Maximum Repeating Substring","Easy","41.7%","50.0%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1013","https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum","Partition Array Into Three Parts With Equal Sum","Easy","42.7%","50.0%","Arrays; Dynamic Programming","Sorting / Prefix / Scan; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"875","https://leetcode.com/problems/koko-eating-bananas","Koko Eating Bananas","Medium","50.0%","87.5%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","Kth Largest Element in an Array","Medium","68.9%","50.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"3138","https://leetcode.com/problems/minimum-length-of-anagram-concatenation","Minimum Length of Anagram Concatenation","Medium","39.8%","75.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"917","https://leetcode.com/problems/reverse-only-letters","Reverse Only Letters","Easy","68.5%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"34","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","Find First and Last Position of Element in Sorted Array","Medium","48.9%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"818","https://leetcode.com/problems/race-car","Race Car","Hard","44.7%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","50.0%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"3137","https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic","Minimum Number of Operations to Make Word K-Periodic","Medium","60.8%","50.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"3153","https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs","Sum of Digit Differences of All Pairs","Medium","43.1%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3091","https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k","Apply Operations to Make Sum of Array Greater Than or Equal to k","Medium","44.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3122","https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions","Minimum Number of Operations to Satisfy Conditions","Medium","41.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","50.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","62.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"2261","https://leetcode.com/problems/k-divisible-elements-subarrays","K Divisible Elements Subarrays","Medium","55.0%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1925","https://leetcode.com/problems/count-square-sum-triples","Count Square Sum Triples","Easy","77.2%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1027","https://leetcode.com/problems/longest-arithmetic-subsequence","Longest Arithmetic Subsequence","Medium","50.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1703","https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones","Minimum Adjacent Swaps for K Consecutive Ones","Hard","42.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"665","https://leetcode.com/problems/non-decreasing-array","Non-decreasing Array","Medium","25.5%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3108","https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph","Minimum Cost Walk in Weighted Graph","Hard","68.2%","50.0%","Arrays; Graphs","Sorting / Prefix / Scan; BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
