"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"41","https://leetcode.com/problems/first-missing-positive","First Missing Positive","Hard","42.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","87.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","87.5%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"991","https://leetcode.com/problems/broken-calculator","Broken Calculator","Medium","56.1%","62.5%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"2428","https://leetcode.com/problems/maximum-sum-of-an-hourglass","Maximum Sum of an Hourglass","Medium","76.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1156","https://leetcode.com/problems/swap-for-longest-repeated-character-substring","Swap For Longest Repeated Character Substring","Medium","44.5%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1157","https://leetcode.com/problems/online-majority-element-in-subarray","Online Majority Element In Subarray","Hard","40.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1689","https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers","Partitioning Into Minimum Number Of Deci-Binary Numbers","Medium","90.5%","62.5%","Arrays; Dynamic Programming","Sorting / Prefix / Scan; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"2895","https://leetcode.com/problems/minimum-processing-time","Minimum Processing Time","Medium","70.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1052","https://leetcode.com/problems/grumpy-bookstore-owner","Grumpy Bookstore Owner","Medium","64.0%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"853","https://leetcode.com/problems/car-fleet","Car Fleet","Medium","55.1%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1003","https://leetcode.com/problems/check-if-word-is-valid-after-substitutions","Check If Word Is Valid After Substitutions","Medium","61.2%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1687","https://leetcode.com/problems/delivering-boxes-from-storage-to-ports","Delivering Boxes from Storage to Ports","Hard","39.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1559","https://leetcode.com/problems/detect-cycles-in-2d-grid","Detect Cycles in 2D Grid","Medium","63.3%","62.5%","Linked List","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","62.5%","Heap","Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"1584","https://leetcode.com/problems/min-cost-to-connect-all-points","Min Cost to Connect All Points","Medium","70.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"103","https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal","Binary Tree Zigzag Level Order Traversal","Medium","63.7%","75.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"394","https://leetcode.com/problems/decode-string","Decode String","Medium","62.6%","75.0%","Strings; Dynamic Programming; Stack / Queue","Hashing / Sliding Window; State Transition; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"74","https://leetcode.com/problems/search-a-2d-matrix","Search a 2D Matrix","Medium","53.9%","75.0%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","High","Must revise; common company/OA pattern."
"545","https://leetcode.com/problems/boundary-of-binary-tree","Boundary of Binary Tree","Medium","48.1%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"516","https://leetcode.com/problems/longest-palindromic-subsequence","Longest Palindromic Subsequence","Medium","65.4%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"621","https://leetcode.com/problems/task-scheduler","Task Scheduler","Medium","63.1%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"124","https://leetcode.com/problems/binary-tree-maximum-path-sum","Binary Tree Maximum Path Sum","Hard","42.3%","75.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","62.5%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"895","https://leetcode.com/problems/maximum-frequency-stack","Maximum Frequency Stack","Hard","66.8%","75.0%","Arrays; Stack / Queue","Sorting / Prefix / Scan; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"65","https://leetcode.com/problems/valid-number","Valid Number","Hard","23.0%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"48","https://leetcode.com/problems/rotate-image","Rotate Image","Medium","80.1%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"334","https://leetcode.com/problems/increasing-triplet-subsequence","Increasing Triplet Subsequence","Medium","39.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","75.0%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","High","Must revise; common company/OA pattern."
"130","https://leetcode.com/problems/surrounded-regions","Surrounded Regions","Medium","45.3%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"92","https://leetcode.com/problems/reverse-linked-list-ii","Reverse Linked List II","Medium","51.5%","75.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"133","https://leetcode.com/problems/clone-graph","Clone Graph","Medium","65.3%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"73","https://leetcode.com/problems/set-matrix-zeroes","Set Matrix Zeroes","Medium","62.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"2712","https://leetcode.com/problems/minimum-cost-to-make-all-characters-equal","Minimum Cost to Make All Characters Equal","Medium","54.4%","62.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1290","https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer","Convert Binary Number in a Linked List to Integer","Easy","82.4%","62.5%","Linked List","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"417","https://leetcode.com/problems/pacific-atlantic-water-flow","Pacific Atlantic Water Flow","Medium","61.0%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"297","https://leetcode.com/problems/serialize-and-deserialize-binary-tree","Serialize and Deserialize Binary Tree","Hard","60.8%","62.5%","Trees; Design","DFS / BFS; Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"45","https://leetcode.com/problems/jump-game-ii","Jump Game II","Medium","42.9%","62.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"189","https://leetcode.com/problems/rotate-array","Rotate Array","Medium","44.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"716","https://leetcode.com/problems/max-stack","Max Stack","Hard","45.9%","62.5%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"2127","https://leetcode.com/problems/maximum-employees-to-be-invited-to-a-meeting","Maximum Employees to Be Invited to a Meeting","Hard","61.8%","62.5%","Arrays; Greedy","Sorting / Prefix / Scan; Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"329","https://leetcode.com/problems/longest-increasing-path-in-a-matrix","Longest Increasing Path in a Matrix","Hard","56.6%","75.0%","Arrays; Dynamic Programming","Sorting / Prefix / Scan; State Transition","High","Must revise; common company/OA pattern."
