"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"272","https://leetcode.com/problems/closest-binary-search-tree-value-ii","Closest Binary Search Tree Value II","Hard","61.2%","62.5%","Trees; Binary Search","DFS / BFS; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"17","https://leetcode.com/problems/letter-combinations-of-a-phone-number","Letter Combinations of a Phone Number","Medium","66.1%","75.0%","Strings; Backtracking","Hashing / Sliding Window; Backtracking","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"277","https://leetcode.com/problems/find-the-celebrity","Find the Celebrity","Medium","49.0%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"76","https://leetcode.com/problems/minimum-window-substring","Minimum Window Substring","Hard","47.5%","50.0%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"339","https://leetcode.com/problems/nested-list-weight-sum","Nested List Weight Sum","Medium","86.0%","75.0%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"605","https://leetcode.com/problems/can-place-flowers","Can Place Flowers","Easy","29.1%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"364","https://leetcode.com/problems/nested-list-weight-sum-ii","Nested List Weight Sum II","Medium","67.0%","87.5%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"366","https://leetcode.com/problems/find-leaves-of-binary-tree","Find Leaves of Binary Tree","Medium","81.3%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"380","https://leetcode.com/problems/insert-delete-getrandom-o1","Insert Delete GetRandom O(1)","Medium","55.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"127","https://leetcode.com/problems/word-ladder","Word Ladder","Hard","45.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"152","https://leetcode.com/problems/maximum-product-subarray","Maximum Product Subarray","Medium","36.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"432","https://leetcode.com/problems/all-oone-data-structure","All O`one Data Structure","Hard","44.3%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"716","https://leetcode.com/problems/max-stack","Max Stack","Hard","45.9%","100.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"244","https://leetcode.com/problems/shortest-word-distance-ii","Shortest Word Distance II","Medium","62.9%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"698","https://leetcode.com/problems/partition-to-k-equal-sum-subsets","Partition to K Equal Sum Subsets","Medium","38.6%","62.5%","Arrays; Dynamic Programming; Backtracking","Sorting / Prefix / Scan; State Transition; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"156","https://leetcode.com/problems/binary-tree-upside-down","Binary Tree Upside Down","Medium","65.5%","37.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1004","https://leetcode.com/problems/max-consecutive-ones-iii","Max Consecutive Ones III","Medium","67.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"34","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array","Find First and Last Position of Element in Sorted Array","Medium","48.9%","37.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"360","https://leetcode.com/problems/sort-transformed-array","Sort Transformed Array","Medium","58.2%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"319","https://leetcode.com/problems/bulb-switcher","Bulb Switcher","Medium","55.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"744","https://leetcode.com/problems/find-smallest-letter-greater-than-target","Find Smallest Letter Greater Than Target","Easy","59.2%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"104","https://leetcode.com/problems/maximum-depth-of-binary-tree","Maximum Depth of Binary Tree","Easy","78.2%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"636","https://leetcode.com/problems/exclusive-time-of-functions","Exclusive Time of Functions","Medium","66.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1188","https://leetcode.com/problems/design-bounded-blocking-queue","Design Bounded Blocking Queue","Medium","73.8%","50.0%","Stack / Queue; Design","Monotonic Stack / Simulation; Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"381","https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed","Insert Delete GetRandom O(1) - Duplicates allowed","Hard","36.6%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"528","https://leetcode.com/problems/random-pick-with-weight","Random Pick with Weight","Medium","49.1%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"886","https://leetcode.com/problems/possible-bipartition","Possible Bipartition","Medium","52.6%","37.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"61","https://leetcode.com/problems/rotate-list","Rotate List","Medium","42.6%","37.5%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"617","https://leetcode.com/problems/merge-two-binary-trees","Merge Two Binary Trees","Easy","79.1%","50.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"187","https://leetcode.com/problems/repeated-dna-sequences","Repeated DNA Sequences","Medium","53.3%","37.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"827","https://leetcode.com/problems/making-a-large-island","Making A Large Island","Hard","56.6%","37.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"296","https://leetcode.com/problems/best-meeting-point","Best Meeting Point","Hard","61.4%","37.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"256","https://leetcode.com/problems/paint-house","Paint House","Medium","64.4%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
