"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"412","https://leetcode.com/problems/fizz-buzz","Fizz Buzz","Easy","75.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","87.5%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","High","Must revise; common company/OA pattern."
"761","https://leetcode.com/problems/special-binary-string","Special Binary String","Hard","79.3%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","100.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"75","https://leetcode.com/problems/sort-colors","Sort Colors","Medium","69.6%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"93","https://leetcode.com/problems/restore-ip-addresses","Restore IP Addresses","Medium","56.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"287","https://leetcode.com/problems/find-the-duplicate-number","Find the Duplicate Number","Medium","64.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","62.5%","Arrays","Sorting / Prefix / Scan; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"198","https://leetcode.com/problems/house-robber","House Robber","Medium","53.2%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"1200","https://leetcode.com/problems/minimum-absolute-difference","Minimum Absolute Difference","Easy","75.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"128","https://leetcode.com/problems/longest-consecutive-sequence","Longest Consecutive Sequence","Medium","47.1%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"155","https://leetcode.com/problems/min-stack","Min Stack","Medium","58.2%","62.5%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"300","https://leetcode.com/problems/longest-increasing-subsequence","Longest Increasing Subsequence","Medium","59.4%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"204","https://leetcode.com/problems/count-primes","Count Primes","Medium","36.1%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"234","https://leetcode.com/problems/palindrome-linked-list","Palindrome Linked List","Easy","58.0%","62.5%","Strings; Linked List","Hashing / Sliding Window; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","62.5%","Heap","Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"2502","https://leetcode.com/problems/design-memory-allocator","Design Memory Allocator","Medium","50.1%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
