"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","50.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"11","https://leetcode.com/problems/container-with-most-water","Container With Most Water","Medium","60.0%","50.0%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"12","https://leetcode.com/problems/integer-to-roman","Integer to Roman","Medium","71.0%","25.0%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"13","https://leetcode.com/problems/roman-to-integer","Roman to Integer","Easy","66.6%","25.0%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","37.5%","Strings","Hashing / Sliding Window","Low","Good for coverage after core list is complete."
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","37.5%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","37.5%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","Low","Good for coverage after core list is complete."
"39","https://leetcode.com/problems/combination-sum","Combination Sum","Medium","76.5%","25.0%","Arrays; Backtracking","Sorting / Prefix / Scan; Backtracking","Low","Good for coverage after core list is complete."
"41","https://leetcode.com/problems/first-missing-positive","First Missing Positive","Hard","42.9%","37.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","50.0%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"75","https://leetcode.com/problems/sort-colors","Sort Colors","Medium","69.6%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"76","https://leetcode.com/problems/minimum-window-substring","Minimum Window Substring","Hard","47.5%","50.0%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"98","https://leetcode.com/problems/validate-binary-search-tree","Validate Binary Search Tree","Medium","35.8%","37.5%","Strings; Trees; Binary Search","Hashing / Sliding Window; DFS / BFS; Binary Search","Low","Good for coverage after core list is complete."
"115","https://leetcode.com/problems/distinct-subsequences","Distinct Subsequences","Hard","51.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"124","https://leetcode.com/problems/binary-tree-maximum-path-sum","Binary Tree Maximum Path Sum","Hard","42.3%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
