"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1171","https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list","Remove Zero Sum Consecutive Nodes from Linked List","Medium","53.2%","62.5%","Arrays; Trees; Linked List","Sorting / Prefix / Scan; DFS / BFS; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"283","https://leetcode.com/problems/move-zeroes","Move Zeroes","Easy","63.8%","87.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"2606","https://leetcode.com/problems/find-the-substring-with-maximum-cost","Find the Substring With Maximum Cost","Medium","58.0%","62.5%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"2181","https://leetcode.com/problems/merge-nodes-in-between-zeros","Merge Nodes in Between Zeros","Medium","89.7%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"2134","https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii","Minimum Swaps to Group All 1's Together II","Medium","65.6%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"2824","https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target","Count Pairs Whose Sum is Less than Target","Easy","87.7%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"513","https://leetcode.com/problems/find-bottom-left-tree-value","Find Bottom Left Tree Value","Medium","72.3%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"25","https://leetcode.com/problems/reverse-nodes-in-k-group","Reverse Nodes in k-Group","Hard","66.1%","62.5%","Trees; Linked List","DFS / BFS; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"2415","https://leetcode.com/problems/reverse-odd-levels-of-binary-tree","Reverse Odd Levels of Binary Tree","Medium","86.6%","75.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"2130","https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list","Maximum Twin Sum of a Linked List","Medium","81.7%","87.5%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"2074","https://leetcode.com/problems/reverse-nodes-in-even-length-groups","Reverse Nodes in Even Length Groups","Medium","64.1%","75.0%","Trees; Linked List","DFS / BFS; Two Pointers","High","Must revise; common company/OA pattern."
"875","https://leetcode.com/problems/koko-eating-bananas","Koko Eating Bananas","Medium","50.0%","62.5%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"1448","https://leetcode.com/problems/count-good-nodes-in-binary-tree","Count Good Nodes in Binary Tree","Medium","73.9%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"402","https://leetcode.com/problems/remove-k-digits","Remove K Digits","Medium","36.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"226","https://leetcode.com/problems/invert-binary-tree","Invert Binary Tree","Easy","80.1%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"179","https://leetcode.com/problems/largest-number","Largest Number","Medium","43.1%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"739","https://leetcode.com/problems/daily-temperatures","Daily Temperatures","Medium","68.7%","62.5%","Stack / Queue","Monotonic Stack / Simulation","Medium","Practice after high-priority questions; useful interview pattern."
"1026","https://leetcode.com/problems/maximum-difference-between-node-and-ancestor","Maximum Difference Between Node and Ancestor","Medium","78.2%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"84","https://leetcode.com/problems/largest-rectangle-in-histogram","Largest Rectangle in Histogram","Hard","49.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"54","https://leetcode.com/problems/spiral-matrix","Spiral Matrix","Medium","56.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"114","https://leetcode.com/problems/flatten-binary-tree-to-linked-list","Flatten Binary Tree to Linked List","Medium","70.7%","62.5%","Trees; Linked List","DFS / BFS; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"19","https://leetcode.com/problems/remove-nth-node-from-end-of-list","Remove Nth Node From End of List","Medium","51.6%","62.5%","Trees; Linked List","DFS / BFS; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"132","https://leetcode.com/problems/palindrome-partitioning-ii","Palindrome Partitioning II","Hard","37.1%","62.5%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"617","https://leetcode.com/problems/merge-two-binary-trees","Merge Two Binary Trees","Easy","79.1%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"21","https://leetcode.com/problems/merge-two-sorted-lists","Merge Two Sorted Lists","Easy","68.3%","62.5%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"1315","https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent","Sum of Nodes with Even-Valued Grandparent","Medium","85.9%","62.5%","Arrays; Trees; Dynamic Programming","Sorting / Prefix / Scan; DFS / BFS; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"328","https://leetcode.com/problems/odd-even-linked-list","Odd Even Linked List","Medium","62.5%","62.5%","Linked List","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"1325","https://leetcode.com/problems/delete-leaves-with-a-given-value","Delete Leaves With a Given Value","Medium","77.2%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"61","https://leetcode.com/problems/rotate-list","Rotate List","Medium","42.6%","62.5%","Arrays; Linked List","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"33","https://leetcode.com/problems/search-in-rotated-sorted-array","Search in Rotated Sorted Array","Medium","44.9%","62.5%","Arrays; Binary Search","Sorting / Prefix / Scan; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"515","https://leetcode.com/problems/find-largest-value-in-each-tree-row","Find Largest Value in Each Tree Row","Medium","66.3%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
