"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","62.5%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"37","https://leetcode.com/problems/sudoku-solver","Sudoku Solver","Hard","65.5%","50.0%","Backtracking","Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"39","https://leetcode.com/problems/combination-sum","Combination Sum","Medium","76.5%","50.0%","Arrays; Backtracking","Sorting / Prefix / Scan; Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"46","https://leetcode.com/problems/permutations","Permutations","Medium","81.9%","50.0%","Backtracking","Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"1048","https://leetcode.com/problems/longest-string-chain","Longest String Chain","Medium","63.0%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"123","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii","Best Time to Buy and Sell Stock III","Hard","53.7%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"124","https://leetcode.com/problems/binary-tree-maximum-path-sum","Binary Tree Maximum Path Sum","Hard","42.3%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","87.5%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"150","https://leetcode.com/problems/evaluate-reverse-polish-notation","Evaluate Reverse Polish Notation","Medium","57.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
