"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1354","https://leetcode.com/problems/construct-target-array-with-multiple-sums","Construct Target Array With Multiple Sums","Hard","37.0%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1876","https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters","Substrings of Size Three with Distinct Characters","Easy","76.7%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"1256","https://leetcode.com/problems/encode-number","Encode Number","Medium","70.3%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1329","https://leetcode.com/problems/sort-the-matrix-diagonally","Sort the Matrix Diagonally","Medium","83.2%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1878","https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid","Get Biggest Three Rhombus Sums in a Grid","Medium","71.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"1865","https://leetcode.com/problems/finding-pairs-with-a-certain-sum","Finding Pairs With a Certain Sum","Medium","61.6%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"717","https://leetcode.com/problems/1-bit-and-2-bit-characters","1-bit and 2-bit Characters","Easy","49.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2080","https://leetcode.com/problems/range-frequency-queries","Range Frequency Queries","Medium","43.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1295","https://leetcode.com/problems/find-numbers-with-even-number-of-digits","Find Numbers with Even Number of Digits","Easy","79.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1935","https://leetcode.com/problems/maximum-number-of-words-you-can-type","Maximum Number of Words You Can Type","Easy","82.9%","75.0%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"855","https://leetcode.com/problems/exam-room","Exam Room","Medium","43.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2269","https://leetcode.com/problems/find-the-k-beauty-of-a-number","Find the K-Beauty of a Number","Easy","63.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1281","https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer","Subtract the Product and Sum of Digits of an Integer","Easy","86.6%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"923","https://leetcode.com/problems/3sum-with-multiplicity","3Sum With Multiplicity","Medium","46.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"560","https://leetcode.com/problems/subarray-sum-equals-k","Subarray Sum Equals K","Medium","47.3%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"380","https://leetcode.com/problems/insert-delete-getrandom-o1","Insert Delete GetRandom O(1)","Medium","55.4%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"68","https://leetcode.com/problems/text-justification","Text Justification","Hard","51.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"14","https://leetcode.com/problems/longest-common-prefix","Longest Common Prefix","Easy","47.6%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"297","https://leetcode.com/problems/serialize-and-deserialize-binary-tree","Serialize and Deserialize Binary Tree","Hard","60.8%","75.0%","Trees; Design","DFS / BFS; Data Structure Design","High","Must revise; common company/OA pattern."
