"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"23","https://leetcode.com/problems/merge-k-sorted-lists","Merge k Sorted Lists","Hard","59.6%","87.5%","Arrays; Linked List; Heap","Sorting / Prefix / Scan; Two Pointers; Priority Queue","High","Must revise; common company/OA pattern."
"295","https://leetcode.com/problems/find-median-from-data-stream","Find Median from Data Stream","Hard","54.5%","87.5%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"1465","https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts","Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts","Medium","41.4%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"592","https://leetcode.com/problems/fraction-addition-and-subtraction","Fraction Addition and Subtraction","Medium","66.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"598","https://leetcode.com/problems/range-addition-ii","Range Addition II","Easy","58.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"353","https://leetcode.com/problems/design-snake-game","Design Snake Game","Medium","40.0%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"634","https://leetcode.com/problems/find-the-derangement-of-an-array","Find the Derangement of An Array","Medium","41.7%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"380","https://leetcode.com/problems/insert-delete-getrandom-o1","Insert Delete GetRandom O(1)","Medium","55.4%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"162","https://leetcode.com/problems/find-peak-element","Find Peak Element","Medium","47.0%","75.0%","Binary Search","Binary Search","High","Must revise; common company/OA pattern."
"166","https://leetcode.com/problems/fraction-to-recurring-decimal","Fraction to Recurring Decimal","Medium","30.9%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"691","https://leetcode.com/problems/stickers-to-spell-word","Stickers to Spell Word","Hard","50.9%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"1347","https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram","Minimum Number of Steps to Make Two Strings Anagram","Medium","82.5%","62.5%","Arrays; Strings","Sorting / Prefix / Scan; Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"227","https://leetcode.com/problems/basic-calculator-ii","Basic Calculator II","Medium","46.9%","75.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"234","https://leetcode.com/problems/palindrome-linked-list","Palindrome Linked List","Easy","58.0%","87.5%","Strings; Linked List","Hashing / Sliding Window; Two Pointers","High","Must revise; common company/OA pattern."
"717","https://leetcode.com/problems/1-bit-and-2-bit-characters","1-bit and 2-bit Characters","Easy","49.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"207","https://leetcode.com/problems/course-schedule","Course Schedule","Medium","51.4%","50.0%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
