"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"70","https://leetcode.com/problems/climbing-stairs","Climbing Stairs","Easy","54.1%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"206","https://leetcode.com/problems/reverse-linked-list","Reverse Linked List","Easy","80.6%","100.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"48","https://leetcode.com/problems/rotate-image","Rotate Image","Medium","80.1%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"24","https://leetcode.com/problems/swap-nodes-in-pairs","Swap Nodes in Pairs","Medium","69.5%","75.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"2502","https://leetcode.com/problems/design-memory-allocator","Design Memory Allocator","Medium","50.1%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"1183","https://leetcode.com/problems/maximum-number-of-ones","Maximum Number of Ones","Hard","70.6%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"3163","https://leetcode.com/problems/string-compression-iii","String Compression III","Medium","67.1%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"19","https://leetcode.com/problems/remove-nth-node-from-end-of-list","Remove Nth Node From End of List","Medium","51.6%","87.5%","Trees; Linked List","DFS / BFS; Two Pointers","High","Must revise; common company/OA pattern."
"876","https://leetcode.com/problems/middle-of-the-linked-list","Middle of the Linked List","Easy","81.8%","87.5%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"190","https://leetcode.com/problems/reverse-bits","Reverse Bits","Easy","68.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"231","https://leetcode.com/problems/power-of-two","Power of Two","Easy","50.1%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"392","https://leetcode.com/problems/is-subsequence","Is Subsequence","Easy","49.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"26","https://leetcode.com/problems/remove-duplicates-from-sorted-array","Remove Duplicates from Sorted Array","Easy","62.8%","75.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"58","https://leetcode.com/problems/length-of-last-word","Length of Last Word","Easy","58.8%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","87.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"297","https://leetcode.com/problems/serialize-and-deserialize-binary-tree","Serialize and Deserialize Binary Tree","Hard","60.8%","75.0%","Trees; Design","DFS / BFS; Data Structure Design","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"56","https://leetcode.com/problems/merge-intervals","Merge Intervals","Medium","51.8%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"9","https://leetcode.com/problems/palindrome-number","Palindrome Number","Easy","60.6%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"407","https://leetcode.com/problems/trapping-rain-water-ii","Trapping Rain Water II","Hard","64.1%","75.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"8","https://leetcode.com/problems/string-to-integer-atoi","String to Integer (atoi)","Medium","21.0%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"232","https://leetcode.com/problems/implement-queue-using-stacks","Implement Queue using Stacks","Easy","69.8%","75.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"50","https://leetcode.com/problems/powx-n","Pow(x, n)","Medium","38.7%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","87.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"215","https://leetcode.com/problems/kth-largest-element-in-an-array","Kth Largest Element in an Array","Medium","68.9%","87.5%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"104","https://leetcode.com/problems/maximum-depth-of-binary-tree","Maximum Depth of Binary Tree","Easy","78.2%","75.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"7","https://leetcode.com/problems/reverse-integer","Reverse Integer","Medium","31.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"210","https://leetcode.com/problems/course-schedule-ii","Course Schedule II","Medium","55.5%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"169","https://leetcode.com/problems/majority-element","Majority Element","Easy","66.3%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"836","https://leetcode.com/problems/rectangle-overlap","Rectangle Overlap","Easy","46.7%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"46","https://leetcode.com/problems/permutations","Permutations","Medium","81.9%","75.0%","Backtracking","Backtracking","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","87.5%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"342","https://leetcode.com/problems/power-of-four","Power of Four","Easy","52.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"2563","https://leetcode.com/problems/count-the-number-of-fair-pairs","Count the Number of Fair Pairs","Medium","52.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","75.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"622","https://leetcode.com/problems/design-circular-queue","Design Circular Queue","Medium","54.7%","87.5%","Stack / Queue; Design","Monotonic Stack / Simulation; Data Structure Design","High","Must revise; common company/OA pattern."
"141","https://leetcode.com/problems/linked-list-cycle","Linked List Cycle","Easy","54.3%","87.5%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","75.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"25","https://leetcode.com/problems/reverse-nodes-in-k-group","Reverse Nodes in k-Group","Hard","66.1%","87.5%","Trees; Linked List","DFS / BFS; Two Pointers","High","Must revise; common company/OA pattern."
"2183","https://leetcode.com/problems/count-array-pairs-divisible-by-k","Count Array Pairs Divisible by K","Hard","30.7%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"560","https://leetcode.com/problems/subarray-sum-equals-k","Subarray Sum Equals K","Medium","47.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"344","https://leetcode.com/problems/reverse-string","Reverse String","Easy","80.8%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"72","https://leetcode.com/problems/edit-distance","Edit Distance","Medium","60.6%","75.0%","Dynamic Programming","State Transition","High","Must revise; common company/OA pattern."
"152","https://leetcode.com/problems/maximum-product-subarray","Maximum Product Subarray","Medium","36.4%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"283","https://leetcode.com/problems/move-zeroes","Move Zeroes","Easy","63.8%","87.5%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"28","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string","Find the Index of the First Occurrence in a String","Easy","46.7%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
