"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","100.0%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","High","Must revise; common company/OA pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"22","https://leetcode.com/problems/generate-parentheses","Generate Parentheses","Medium","78.7%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","100.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
"52","https://leetcode.com/problems/n-queens-ii","N-Queens II","Hard","78.7%","100.0%","Backtracking","Backtracking","High","Must revise; common company/OA pattern."
"109","https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree","Convert Sorted List to Binary Search Tree","Medium","66.6%","100.0%","Arrays; Trees; Linked List; Binary Search","Sorting / Prefix / Scan; DFS / BFS; Two Pointers; Binary Search","High","Must revise; common company/OA pattern."
"125","https://leetcode.com/problems/valid-palindrome","Valid Palindrome","Easy","53.3%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"155","https://leetcode.com/problems/min-stack","Min Stack","Medium","58.2%","100.0%","Stack / Queue","Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"168","https://leetcode.com/problems/excel-sheet-column-title","Excel Sheet Column Title","Easy","46.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"169","https://leetcode.com/problems/majority-element","Majority Element","Easy","66.3%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"206","https://leetcode.com/problems/reverse-linked-list","Reverse Linked List","Easy","80.6%","100.0%","Linked List","Two Pointers","High","Must revise; common company/OA pattern."
"207","https://leetcode.com/problems/course-schedule","Course Schedule","Medium","51.4%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"210","https://leetcode.com/problems/course-schedule-ii","Course Schedule II","Medium","55.5%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"229","https://leetcode.com/problems/majority-element-ii","Majority Element II","Medium","56.2%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","100.0%","Arrays","Sorting / Prefix / Scan; Sliding Window","High","Must revise; common company/OA pattern."
"251","https://leetcode.com/problems/flatten-2d-vector","Flatten 2D Vector","Medium","50.5%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"255","https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree","Verify Preorder Sequence in Binary Search Tree","Medium","51.8%","100.0%","Trees; Binary Search","DFS / BFS; Binary Search","High","Must revise; common company/OA pattern."
"261","https://leetcode.com/problems/graph-valid-tree","Graph Valid Tree","Medium","50.0%","100.0%","Strings; Trees; Graphs","Hashing / Sliding Window; DFS / BFS; BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"317","https://leetcode.com/problems/shortest-distance-from-all-buildings","Shortest Distance from All Buildings","Hard","44.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
