"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"210","https://leetcode.com/problems/course-schedule-ii","Course Schedule II","Medium","55.5%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"202","https://leetcode.com/problems/happy-number","Happy Number","Easy","59.7%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"588","https://leetcode.com/problems/design-in-memory-file-system","Design In-Memory File System","Hard","48.4%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"438","https://leetcode.com/problems/find-all-anagrams-in-a-string","Find All Anagrams in a String","Medium","53.8%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"2050","https://leetcode.com/problems/parallel-courses-iii","Parallel Courses III","Hard","66.8%","100.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"1242","https://leetcode.com/problems/web-crawler-multithreaded","Web Crawler Multithreaded","Medium","51.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1236","https://leetcode.com/problems/web-crawler","Web Crawler","Medium","68.8%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1136","https://leetcode.com/problems/parallel-courses","Parallel Courses","Medium","62.2%","75.0%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"2742","https://leetcode.com/problems/painting-the-walls","Painting the Walls","Hard","49.1%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"45","https://leetcode.com/problems/jump-game-ii","Jump Game II","Medium","42.9%","62.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"706","https://leetcode.com/problems/design-hashmap","Design HashMap","Easy","66.6%","75.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"841","https://leetcode.com/problems/keys-and-rooms","Keys and Rooms","Medium","75.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1235","https://leetcode.com/problems/maximum-profit-in-job-scheduling","Maximum Profit in Job Scheduling","Hard","54.7%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"42","https://leetcode.com/problems/trapping-rain-water","Trapping Rain Water","Hard","67.4%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"545","https://leetcode.com/problems/boundary-of-binary-tree","Boundary of Binary Tree","Medium","48.1%","75.0%","Trees","DFS / BFS","High","Must revise; common company/OA pattern."
"1146","https://leetcode.com/problems/snapshot-array","Snapshot Array","Medium","36.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"261","https://leetcode.com/problems/graph-valid-tree","Graph Valid Tree","Medium","50.0%","75.0%","Strings; Trees; Graphs","Hashing / Sliding Window; DFS / BFS; BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"347","https://leetcode.com/problems/top-k-frequent-elements","Top K Frequent Elements","Medium","66.4%","75.0%","Heap","Priority Queue","High","Must revise; common company/OA pattern."
"243","https://leetcode.com/problems/shortest-word-distance","Shortest Word Distance","Easy","66.3%","87.5%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"212","https://leetcode.com/problems/word-search-ii","Word Search II","Hard","38.5%","62.5%","Strings; Binary Search","Hashing / Sliding Window; Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"695","https://leetcode.com/problems/max-area-of-island","Max Area of Island","Medium","74.0%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"641","https://leetcode.com/problems/design-circular-deque","Design Circular Deque","Medium","64.7%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"207","https://leetcode.com/problems/course-schedule","Course Schedule","Medium","51.4%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"1472","https://leetcode.com/problems/design-browser-history","Design Browser History","Medium","78.3%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"827","https://leetcode.com/problems/making-a-large-island","Making A Large Island","Hard","56.6%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"2062","https://leetcode.com/problems/count-vowel-substrings-of-a-string","Count Vowel Substrings of a String","Easy","73.2%","87.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"1600","https://leetcode.com/problems/throne-inheritance","Throne Inheritance","Medium","67.4%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"1353","https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended","Maximum Number of Events That Can Be Attended","Medium","39.0%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"211","https://leetcode.com/problems/design-add-and-search-words-data-structure","Design Add and Search Words Data Structure","Medium","48.5%","62.5%","Strings; Binary Search; Design","Hashing / Sliding Window; Binary Search; Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"2096","https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another","Step-By-Step Directions From a Binary Tree Node to Another","Medium","56.4%","62.5%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"3092","https://leetcode.com/problems/most-frequent-ids","Most Frequent IDs","Medium","42.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"71","https://leetcode.com/problems/simplify-path","Simplify Path","Medium","50.6%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
