"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"146","https://leetcode.com/problems/lru-cache","LRU Cache","Medium","47.4%","87.5%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"207","https://leetcode.com/problems/course-schedule","Course Schedule","Medium","51.4%","87.5%","Graphs","BFS / DFS / Topological Sort","High","Must revise; common company/OA pattern."
"588","https://leetcode.com/problems/design-in-memory-file-system","Design In-Memory File System","Hard","48.4%","50.0%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"394","https://leetcode.com/problems/decode-string","Decode String","Medium","62.6%","75.0%","Strings; Dynamic Programming; Stack / Queue","Hashing / Sliding Window; State Transition; Monotonic Stack / Simulation","High","Must revise; common company/OA pattern."
"355","https://leetcode.com/problems/design-twitter","Design Twitter","Medium","44.7%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"78","https://leetcode.com/problems/subsets","Subsets","Medium","82.3%","62.5%","Backtracking","Backtracking","Medium","Practice after high-priority questions; useful interview pattern."
"139","https://leetcode.com/problems/word-break","Word Break","Medium","49.5%","62.5%","Strings; Dynamic Programming","Hashing / Sliding Window; State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"460","https://leetcode.com/problems/lfu-cache","LFU Cache","Hard","49.2%","100.0%","Design","Data Structure Design","High","Must revise; common company/OA pattern."
"724","https://leetcode.com/problems/find-pivot-index","Find Pivot Index","Easy","62.7%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"715","https://leetcode.com/problems/range-module","Range Module","Hard","45.0%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"340","https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters","Longest Substring with At Most K Distinct Characters","Medium","50.0%","50.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"776","https://leetcode.com/problems/split-bst","Split BST","Medium","82.2%","50.0%","Trees","DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"1044","https://leetcode.com/problems/longest-duplicate-substring","Longest Duplicate Substring","Hard","31.2%","87.5%","Arrays; Strings; Trees","Sorting / Prefix / Scan; Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"334","https://leetcode.com/problems/increasing-triplet-subsequence","Increasing Triplet Subsequence","Medium","39.4%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"239","https://leetcode.com/problems/sliding-window-maximum","Sliding Window Maximum","Hard","48.8%","75.0%","Arrays","Sorting / Prefix / Scan; Sliding Window","High","Must revise; common company/OA pattern."
"1062","https://leetcode.com/problems/longest-repeating-substring","Longest Repeating Substring","Medium","63.5%","87.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"540","https://leetcode.com/problems/single-element-in-a-sorted-array","Single Element in a Sorted Array","Medium","59.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"752","https://leetcode.com/problems/open-the-lock","Open the Lock","Medium","61.3%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"694","https://leetcode.com/problems/number-of-distinct-islands","Number of Distinct Islands","Medium","62.8%","62.5%","Graphs","BFS / DFS / Topological Sort","Medium","Practice after high-priority questions; useful interview pattern."
"295","https://leetcode.com/problems/find-median-from-data-stream","Find Median from Data Stream","Hard","54.5%","62.5%","Heap","Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"362","https://leetcode.com/problems/design-hit-counter","Design Hit Counter","Medium","69.7%","62.5%","Design","Data Structure Design","Medium","Practice after high-priority questions; useful interview pattern."
"115","https://leetcode.com/problems/distinct-subsequences","Distinct Subsequences","Hard","51.9%","50.0%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"638","https://leetcode.com/problems/shopping-offers","Shopping Offers","Medium","52.5%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2788","https://leetcode.com/problems/split-strings-by-separator","Split Strings by Separator","Easy","76.2%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"44","https://leetcode.com/problems/wildcard-matching","Wildcard Matching","Hard","32.0%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
