"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1475","https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop","Final Prices With a Special Discount in a Shop","Easy","84.1%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1642","https://leetcode.com/problems/furthest-building-you-can-reach","Furthest Building You Can Reach","Medium","50.9%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"2222","https://leetcode.com/problems/number-of-ways-to-select-buildings","Number of Ways to Select Buildings","Medium","50.9%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"1526","https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array","Minimum Number of Increments on Subarrays to Form a Target Array","Hard","78.2%","87.5%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"15","https://leetcode.com/problems/3sum","3Sum","Medium","39.1%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"735","https://leetcode.com/problems/asteroid-collision","Asteroid Collision","Medium","47.9%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"416","https://leetcode.com/problems/partition-equal-subset-sum","Partition Equal Subset Sum","Medium","49.5%","75.0%","Arrays; Dynamic Programming","Sorting / Prefix / Scan; State Transition","High","Must revise; common company/OA pattern."
"134","https://leetcode.com/problems/gas-station","Gas Station","Medium","48.0%","75.0%","Greedy","Greedy","High","Must revise; common company/OA pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","High","Must revise; common company/OA pattern."
"994","https://leetcode.com/problems/rotting-oranges","Rotting Oranges","Medium","58.7%","75.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"16","https://leetcode.com/problems/3sum-closest","3Sum Closest","Medium","48.6%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"931","https://leetcode.com/problems/minimum-falling-path-sum","Minimum Falling Path Sum","Medium","60.8%","75.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"11","https://leetcode.com/problems/container-with-most-water","Container With Most Water","Medium","60.0%","75.0%","Core DSA","Two Pointers","High","Must revise; common company/OA pattern."
