"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","50.0%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"202","https://leetcode.com/problems/happy-number","Happy Number","Easy","59.7%","100.0%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","37.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","Low","Good for coverage after core list is complete."
"2291","https://leetcode.com/problems/maximum-profit-from-trading-stocks","Maximum Profit From Trading Stocks","Medium","48.2%","50.0%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"3004","https://leetcode.com/problems/maximum-subtree-of-the-same-color","Maximum Subtree of the Same Color","Medium","58.8%","62.5%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","Medium","Practice after high-priority questions; useful interview pattern."
"3068","https://leetcode.com/problems/find-the-maximum-sum-of-node-values","Find the Maximum Sum of Node Values","Hard","69.4%","75.0%","Arrays; Trees","Sorting / Prefix / Scan; DFS / BFS","High","Must revise; common company/OA pattern."
"200","https://leetcode.com/problems/number-of-islands","Number of Islands","Medium","64.4%","37.5%","Graphs","BFS / DFS / Topological Sort","Low","Good for coverage after core list is complete."
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","37.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","Low","Good for coverage after core list is complete."
"268","https://leetcode.com/problems/missing-number","Missing Number","Easy","72.0%","37.5%","Arrays","Sorting / Prefix / Scan","Low","Good for coverage after core list is complete."
"70","https://leetcode.com/problems/climbing-stairs","Climbing Stairs","Easy","54.1%","37.5%","Dynamic Programming","State Transition","Low","Good for coverage after core list is complete."
