"ID","URL","Title","Difficulty","Acceptance %","Frequency %","Topic Tags","Pattern","Revision Priority","Notes"
"1","https://leetcode.com/problems/two-sum","Two Sum","Easy","57.5%","100.0%","Arrays","Sorting / Prefix / Scan; Two Pointers","High","Must revise; common company/OA pattern."
"9","https://leetcode.com/problems/palindrome-number","Palindrome Number","Easy","60.6%","100.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"509","https://leetcode.com/problems/fibonacci-number","Fibonacci Number","Easy","74.1%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"7","https://leetcode.com/problems/reverse-integer","Reverse Integer","Medium","31.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"2165","https://leetcode.com/problems/smallest-value-of-the-rearranged-number","Smallest Value of the Rearranged Number","Medium","53.6%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"242","https://leetcode.com/problems/valid-anagram","Valid Anagram","Easy","68.1%","75.0%","Strings","Hashing / Sliding Window","High","Must revise; common company/OA pattern."
"53","https://leetcode.com/problems/maximum-subarray","Maximum Subarray","Medium","53.3%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"88","https://leetcode.com/problems/merge-sorted-array","Merge Sorted Array","Easy","54.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"1068","https://leetcode.com/problems/product-sales-analysis-i","Product Sales Analysis I","Easy","85.8%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"2","https://leetcode.com/problems/add-two-numbers","Add Two Numbers","Medium","48.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"3392","https://leetcode.com/problems/count-subarrays-of-length-three-with-a-condition","Count Subarrays of Length Three With a Condition","Easy","61.4%","100.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"26","https://leetcode.com/problems/remove-duplicates-from-sorted-array","Remove Duplicates from Sorted Array","Easy","62.8%","62.5%","Arrays","Sorting / Prefix / Scan; Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"189","https://leetcode.com/problems/rotate-array","Rotate Array","Medium","44.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"412","https://leetcode.com/problems/fizz-buzz","Fizz Buzz","Easy","75.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1280","https://leetcode.com/problems/students-and-examinations","Students and Examinations","Easy","61.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"5","https://leetcode.com/problems/longest-palindromic-substring","Longest Palindromic Substring","Medium","37.8%","75.0%","Strings; Trees","Hashing / Sliding Window; DFS / BFS","High","Must revise; common company/OA pattern."
"1148","https://leetcode.com/problems/article-views-i","Article Views I","Easy","76.6%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"4","https://leetcode.com/problems/median-of-two-sorted-arrays","Median of Two Sorted Arrays","Hard","46.6%","62.5%","Arrays; Heap","Sorting / Prefix / Scan; Priority Queue","Medium","Practice after high-priority questions; useful interview pattern."
"3","https://leetcode.com/problems/longest-substring-without-repeating-characters","Longest Substring Without Repeating Characters","Medium","39.1%","62.5%","Strings; Trees","Hashing / Sliding Window; DFS / BFS; Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"176","https://leetcode.com/problems/second-highest-salary","Second Highest Salary","Medium","47.0%","87.5%","Core DSA","Implementation / Reasoning","High","Must revise; common company/OA pattern."
"35","https://leetcode.com/problems/search-insert-position","Search Insert Position","Easy","51.3%","62.5%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"560","https://leetcode.com/problems/subarray-sum-equals-k","Subarray Sum Equals K","Medium","47.3%","75.0%","Arrays","Sorting / Prefix / Scan","High","Must revise; common company/OA pattern."
"125","https://leetcode.com/problems/valid-palindrome","Valid Palindrome","Easy","53.3%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"197","https://leetcode.com/problems/rising-temperature","Rising Temperature","Easy","51.3%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"1295","https://leetcode.com/problems/find-numbers-with-even-number-of-digits","Find Numbers with Even Number of Digits","Easy","79.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"181","https://leetcode.com/problems/employees-earning-more-than-their-managers","Employees Earning More Than Their Managers","Easy","73.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"41","https://leetcode.com/problems/first-missing-positive","First Missing Positive","Hard","42.9%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"704","https://leetcode.com/problems/binary-search","Binary Search","Easy","60.9%","62.5%","Binary Search","Binary Search","Medium","Practice after high-priority questions; useful interview pattern."
"13","https://leetcode.com/problems/roman-to-integer","Roman to Integer","Easy","66.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"1732","https://leetcode.com/problems/find-the-highest-altitude","Find the Highest Altitude","Easy","83.9%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"70","https://leetcode.com/problems/climbing-stairs","Climbing Stairs","Easy","54.1%","62.5%","Dynamic Programming","State Transition","Medium","Practice after high-priority questions; useful interview pattern."
"1378","https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier","Replace Employee ID With The Unique Identifier","Easy","83.5%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"485","https://leetcode.com/problems/max-consecutive-ones","Max Consecutive Ones","Easy","65.2%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"49","https://leetcode.com/problems/group-anagrams","Group Anagrams","Medium","72.6%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"283","https://leetcode.com/problems/move-zeroes","Move Zeroes","Easy","63.8%","62.5%","Core DSA","Two Pointers","Medium","Practice after high-priority questions; useful interview pattern."
"55","https://leetcode.com/problems/jump-game","Jump Game","Medium","40.9%","62.5%","Greedy","Greedy","Medium","Practice after high-priority questions; useful interview pattern."
"1200","https://leetcode.com/problems/minimum-absolute-difference","Minimum Absolute Difference","Easy","75.1%","62.5%","Arrays","Sorting / Prefix / Scan","Medium","Practice after high-priority questions; useful interview pattern."
"136","https://leetcode.com/problems/single-number","Single Number","Easy","77.7%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
"20","https://leetcode.com/problems/valid-parentheses","Valid Parentheses","Easy","44.2%","62.5%","Strings","Hashing / Sliding Window","Medium","Practice after high-priority questions; useful interview pattern."
"121","https://leetcode.com/problems/best-time-to-buy-and-sell-stock","Best Time to Buy and Sell Stock","Easy","56.8%","62.5%","Core DSA","Implementation / Reasoning","Medium","Practice after high-priority questions; useful interview pattern."
